org_id,realcode,total_amount,record_count,org_total_amount,org_total_records,share_amount,share_records
00c6a754,F3300,175370.0,236,399655.0,518,0.43880346799114234,0.4555984555984556
00c6a754,F5500,3500.0,7,399655.0,518,0.008757553389798702,0.013513513513513514
00c6a754,J1200,500.0,1,399655.0,518,0.0012510790556855287,0.0019305019305019305
00c6a754,J7400,400.0,2,399655.0,518,0.001000863244548423,0.003861003861003861
00c6a754,K1000,27300.0,32,399655.0,518,0.06830891644042987,0.06177606177606178
00c6a754,Z9600,15500.0,16,399655.0,518,0.03878345072625139,0.03088803088803089
00cd25ec,J1100,1850.0,5,327736.0,484,0.005644787267800913,0.010330578512396695
00cd25ec,M2300,325886.0,479,327736.0,484,0.9943552127321991,0.9896694214876033
00d47b1b,H5200,137379.0,5,541379.0,9,0.25375753400113416,0.5555555555555556
00d47b1b,J1100,404000.0,4,541379.0,9,0.7462424659988659,0.4444444444444444
00d86421,J1100,784772.0,13,784772.0,13,1.0,1.0
00dbcc7a,J9000,3607449.0,374,3607699.0,375,0.9999307037532787,0.9973333333333333
00dbcc7a,Y4000,250.0,1,3607699.0,375,6.929624672124808e-05,0.0026666666666666666
00e4e6f7,E2000,912762.0,197,1415462.0,202,0.6448509391280021,0.9752475247524752
00e4e6f7,Z9600,502700.0,5,1415462.0,202,0.355149060871998,0.024752475247524754
00f88d19,F3200,43616857.0,39820,59364966.0,49263,0.7347238605341743,0.8083145565637496
00f88d19,H1100,7500.0,4,59364966.0,49263,0.00012633713965236668,8.119684144286787e-05
00f88d19,H1750,2850.0,24,59364966.0,49263,4.800811306789934e-05,0.0004871810486572072
00f88d19,H3000,26800.0,32,59364966.0,49263,0.0004514447123577903,0.000649574731542943
00f88d19,H3700,15401458.0,9086,59364966.0,49263,0.2594368200261413,0.18443862533747438
00f88d19,J1100,700.0,3,59364966.0,49263,1.1791466367554224e-05,6.08976310821509e-05
00f88d19,J1200,0.0,3,59364966.0,49263,0.0,6.08976310821509e-05
00f88d19,J5100,21150.0,39,59364966.0,49263,0.00035627073381967403,0.0007916692040679618
00f88d19,J7150,500.0,1,59364966.0,49263,8.422475976824445e-06,2.0299210360716968e-05
00f88d19,J7300,300.0,1,59364966.0,49263,5.053485586094667e-06,2.0299210360716968e-05
00f88d19,J7400,38515.0,119,59364966.0,49263,0.000648783324494787,0.0024156060329253194
00f88d19,J7500,5900.0,3,59364966.0,49263,9.938521652652846e-05,6.08976310821509e-05
00f88d19,JD200,136.0,18,59364966.0,49263,2.290913465696249e-06,0.00036538578649290544
00f88d19,Z9600,223400.0,96,59364966.0,49263,0.0037631622664451624,0.0019487241946288289
00f88d19,z9600,18900.0,14,59364966.0,49263,0.00031836959192396404,0.00028418894505003757
00fa0b55,C0000,15350.0,9,436093.0,193,0.03519891399311615,0.046632124352331605
00fa0b55,G5270,419743.0,183,436093.0,193,0.9625079971473974,0.9481865284974094
00fa0b55,Z9600,1000.0,1,436093.0,193,0.002293088859486394,0.0051813471502590676
00fc029f,G2300,310983.0,334,390033.0,398,0.7973248417441601,0.8391959798994975
00fc029f,G2900,70600.0,56,390033.0,398,0.18101032476739148,0.1407035175879397
00fc029f,J7150,5200.0,2,390033.0,398,0.013332205223660562,0.005025125628140704
00fc029f,J7400,3250.0,6,390033.0,398,0.008332628264787851,0.01507537688442211
00fc614d,T6100,423900.0,285,423900.0,285,1.0,1.0
00fd0d67,J1200,30951.0,85,597561.0,226,0.051795548906304126,0.37610619469026546
00fd0d67,Z5200,566610.0,141,597561.0,226,0.9482044510936959,0.6238938053097345
01020eb4,J1200,15000.0,3,915436.0,386,0.016385634823188076,0.007772020725388601
01020eb4,J7500,549108.0,278,915436.0,386,0.5998322110994105,0.7202072538860104
01020eb4,J9000,351328.0,105,915436.0,386,0.38378215407740135,0.27202072538860106
0102ac3a,F2100,2272061.0,2149,2272061.0,2149,1.0,1.0
010359be,T1600,316400.0,27,327205.0,43,0.9669778884796992,0.627906976744186
010359be,Y4000,10805.0,16,327205.0,43,0.033022111520300726,0.37209302325581395
